org_id,name,band,callsign,tagline,network_name,eformat,estatus,music_only
482,WLRN 91.3 FM,FM,WLRN,WLRN Public Media,WLRN 91.3 FM,,1,False
671,WUSF Public Media - WUSF 89.7,FM,WUSF,"News, Information & All Night Jazz",,Public Radio,1,False
502,WMFE,FM,WMFE,Public Radio for Central Florida,,Public Radio,1,False
447,WJCT 89.9 FM Jacksonville,FM,WJCT,,,Public Radio,1,False
400,WGCU,FM,WGCU,WGCU Public Media,WGCU,,1,False
587,WQCS,FM,WQCS,NPR for the Treasure Coast.,,Public Radio,1,False
390,WFSU,FM,WFSU,Your News & Information Station,,Public Radio,1,False
650,WUFT 89.1,FM,WUFT,NPR News and Talk for Gainesville and Ocala,,Public Radio,1,False
673,WUWF,FM,WUWF,NPR for Florida's Great Northwest,,Public Radio,1,False
384,WFIT,FM,WFIT,Public Radio for The Florida Space Coast,,Public Radio,1,False
1577,WMFV-FM,FM,WMFV,"Serving The Villages, Leesburg and The Golden Triangle areas of Central Florida",,Public Radio,1,False
651,WUFT 90.1,FM,WJUF,NPR News & Talk for the Nature Coast and The Villages,,Public Radio,1,False
1184,Classical WSMR,FM,WSMR,Classical WSMR 89.1 & 103.9,,Classical,1,True
464,WKGC,FM,WKGC,Here When You Need Us,,Public Radio,1,False
649,WUCF FM,FM,WUCF,89.9 Jazz & More,,Jazz,1,True
391,WFSQ,FM,WFSQ,Your Classical Music Source,,Classical,1,True
507,WMNF,FM,WMNF,Community Conscious Radio,,Public Radio,1,False
